id,lon,lat,grid_id_50km,host_grid_id_50km,sector,tech,allocated_capacity_mw
r1552_c204,76.70281339049335,37.54517505147247,R31_C5,R32_C5,chem,pv,16.873835566393154
r1552_c205,76.71387438483593,37.54766187009544,R31_C5,R32_C5,chem,pv,16.8723627291777
r1552_c206,76.724936101066,37.55014774328051,R31_C5,R32_C5,chem,pv,16.87089037493592
r1552_c209,76.75812557904064,37.55759968932596,R31_C5,R32_C5,chem,pv,17.048362255968843
r1552_c217,76.8466625657571,37.57742992418258,R31_C5,R32_C5,chem,pv,17.036627542482403
r1552_c218,76.85773292869708,37.579904445232366,R31_C5,R32_C5,chem,pv,17.035162865752
r1552_c219,76.86880401086488,37.5823780196979,R31_C5,R32_C5,chem,pv,17.033698670004853
r1552_c220,76.87987581205529,37.58485064749103,R31_C5,R32_C5,chem,pv,17.03223495537231
r1552_c221,76.89094833206289,37.58732232852373,R31_C5,R32_C5,chem,pv,17.030771721985634
r1552_c222,76.90202157068225,37.58979306270789,R31_C5,R32_C5,chem,pv,17.029308969976093
r1552_c223,76.91309552770774,37.59226284995548,R31_C5,R32_C5,chem,pv,17.02784669947494
r1552_c224,76.92417020293375,37.594731690178506,R31_C5,R32_C5,chem,pv,17.02638491061343
r1552_c225,76.9352455961545,37.59719958328883,R31_C5,R32_C5,chem,pv,17.024923603522826
r1552_c226,76.94632170716413,37.59966652919852,R31_C5,R32_C5,chem,pv,34.04692555666879
r1552_c227,76.95739853575665,37.6021325278196,R31_C5,R32_C5,chem,pv,34.04400487035864
r1552_c228,76.96847608172602,37.604597579064,R31_C5,R32_C5,chem,pv,34.04108514837781
r1552_c229,76.97955434486609,37.60706168284384,R31_C5,R32_C5,chem,pv,34.03816639098868
r1552_c230,76.9906333249706,37.60952483907108,R31_C5,R32_C5,chem,pv,34.035248598453606
r1552_c231,77.00171302183318,37.61198704765778,R31_C5,R32_C5,chem,pv,34.03233177103524
r1553_c201,76.67287851848457,37.52922065938296,R31_C5,R32_C5,chem,pv,16.883282845088047
r1553_c202,76.68393622017624,37.53171003521003,R31_C5,R32_C5,chem,pv,16.88180898762495
r1553_c203,76.69499464413231,37.53419846593537,R31_C5,R32_C5,chem,pv,16.880335612664762
r1553_c204,76.70605379014913,37.536685951470616,R31_C5,R32_C5,chem,pv,16.878862720336006
r1553_c205,76.71711365802294,37.53917249172765,R31_C5,R32_C5,chem,pv,16.877390310767005
r1553_c206,76.72817424754992,37.54165808661825,R31_C5,R32_C5,chem,pv,16.87591838408627
