province,grid_type,grid_id,y_power,y_chem,assigned_sector
Xinjiang,land,R29_C13,-0.0,-0.0,none
Xinjiang,land,R29_C14,-0.0,-0.0,none
Xinjiang,land,R29_C15,-0.0,-0.0,none
Xinjiang,land,R29_C16,-0.0,-0.0,none
Xinjiang,land,R29_C17,-0.0,-0.0,none
Xinjiang,land,R29_C18,-0.0,-0.0,none
Xinjiang,land,R29_C19,-0.0,-0.0,none
Xinjiang,land,R29_C20,-0.0,-0.0,none
Xinjiang,land,R29_C21,-0.0,-0.0,none
Xinjiang,land,R29_C22,-0.0,-0.0,none
Xinjiang,land,R29_C23,-0.0,-0.0,none
Xinjiang,land,R29_C24,-0.0,-0.0,none
Xinjiang,land,R29_C25,-0.0,-0.0,none
Xinjiang,land,R29_C26,-0.0,-0.0,none
Xinjiang,land,R29_C27,-0.0,-0.0,none
Xinjiang,land,R29_C28,-0.0,0.0,none
Xinjiang,land,R29_C29,-0.0,-0.0,none
Xinjiang,land,R29_C3,-0.0,-0.0,none
Xinjiang,land,R29_C30,-0.0,-0.0,none
Xinjiang,land,R29_C31,-0.0,-0.0,none
Xinjiang,land,R29_C32,-0.0,-0.0,none
Xinjiang,land,R29_C33,0.0,0.0,none
Xinjiang,land,R29_C34,-0.0,-0.0,none
Xinjiang,land,R29_C35,-0.0,-0.0,none
Xinjiang,land,R29_C4,-0.0,-0.0,none
Xinjiang,land,R29_C5,1.0,-0.0,power
Xinjiang,land,R29_C6,1.0,-0.0,power
Xinjiang,land,R29_C7,-0.0,-0.0,none
Xinjiang,land,R29_C8,-0.0,-0.0,none
Xinjiang,land,R29_C9,-0.0,-0.0,none
Xinjiang,land,R30_C10,-0.0,-0.0,none
Xinjiang,land,R30_C11,-0.0,-0.0,none
Xinjiang,land,R30_C12,-0.0,-0.0,none
Xinjiang,land,R30_C13,-0.0,-0.0,none
Xinjiang,land,R30_C14,-0.0,-0.0,none
Xinjiang,land,R30_C15,-0.0,-0.0,none
Xinjiang,land,R30_C16,-0.0,-0.0,none
Xinjiang,land,R30_C17,-0.0,-0.0,none
Xinjiang,land,R30_C18,-0.0,-0.0,none
Xinjiang,land,R30_C19,-0.0,-0.0,none
Xinjiang,land,R30_C20,-0.0,-0.0,none
Xinjiang,land,R30_C21,-0.0,-0.0,none
Xinjiang,land,R30_C22,-0.0,-0.0,none
Xinjiang,land,R30_C23,-0.0,-0.0,none
Xinjiang,land,R30_C24,-0.0,-0.0,none
Xinjiang,land,R30_C25,-0.0,-0.0,none
Xinjiang,land,R30_C26,-0.0,-0.0,none
Xinjiang,land,R30_C27,-0.0,-0.0,none
Xinjiang,land,R30_C28,-0.0,0.0,none
Xinjiang,land,R30_C29,-0.0,-0.0,none
Xinjiang,land,R30_C3,-0.0,1.0,chem
Xinjiang,land,R30_C30,-0.0,-0.0,none
Xinjiang,land,R30_C31,-0.0,-0.0,none
Xinjiang,land,R30_C32,-0.0,-0.0,none
Xinjiang,land,R30_C33,-0.0,-0.0,none
Xinjiang,land,R30_C34,-0.0,-0.0,none
Xinjiang,land,R30_C4,-0.0,-0.0,none
Xinjiang,land,R30_C5,-0.0,-0.0,none
Xinjiang,land,R30_C6,-0.0,-0.0,none
Xinjiang,land,R30_C7,-0.0,-0.0,none
Xinjiang,land,R30_C8,-0.0,-0.0,none
Xinjiang,land,R30_C9,-0.0,-0.0,none
Xinjiang,land,R31_C10,-0.0,-0.0,none
Xinjiang,land,R31_C11,-0.0,-0.0,none
Xinjiang,land,R31_C12,-0.0,-0.0,none
Xinjiang,land,R31_C13,-0.0,-0.0,none
Xinjiang,land,R31_C14,-0.0,-0.0,none
Xinjiang,land,R31_C15,-0.0,-0.0,none
Xinjiang,land,R31_C16,1.0,-0.0,power
Xinjiang,land,R31_C17,-0.0,-0.0,none
Xinjiang,land,R31_C18,-0.0,-0.0,none
Xinjiang,land,R31_C19,-0.0,-0.0,none
Xinjiang,land,R31_C20,-0.0,-0.0,none
Xinjiang,land,R31_C21,-0.0,-0.0,none
Xinjiang,land,R31_C22,-0.0,-0.0,none
Xinjiang,land,R31_C23,-0.0,-0.0,none
Xinjiang,land,R31_C24,-0.0,-0.0,none
Xinjiang,land,R31_C25,-0.0,-0.0,none
Xinjiang,land,R31_C26,-0.0,-0.0,none
Xinjiang,land,R31_C27,-0.0,-0.0,none
Xinjiang,land,R31_C28,-0.0,-0.0,none
Xinjiang,land,R31_C29,-0.0,-0.0,none
Xinjiang,land,R31_C3,-0.0,-0.0,none
Xinjiang,land,R31_C30,-0.0,-0.0,none
Xinjiang,land,R31_C31,-0.0,-0.0,none
Xinjiang,land,R31_C32,0.0,0.0,none
Xinjiang,land,R31_C4,-0.0,-0.0,none
Xinjiang,land,R31_C5,-0.0,1.0,chem
Xinjiang,land,R31_C6,-0.0,-0.0,none
Xinjiang,land,R31_C7,-0.0,-0.0,none
Xinjiang,land,R31_C8,-0.0,-0.0,none
Xinjiang,land,R31_C9,-0.0,-0.0,none
Xinjiang,land,R32_C10,1.0,-0.0,power
Xinjiang,land,R32_C11,-0.0,-0.0,none
Xinjiang,land,R32_C12,-0.0,-0.0,none
Xinjiang,land,R32_C13,-0.0,-0.0,none
Xinjiang,land,R32_C14,-0.0,-0.0,none
Xinjiang,land,R32_C15,1.0,-0.0,power
Xinjiang,land,R32_C16,0.0,-0.0,none
Xinjiang,land,R32_C17,-0.0,-0.0,none
Xinjiang,land,R32_C18,-0.0,-0.0,none
Xinjiang,land,R32_C19,-0.0,-0.0,none
Xinjiang,land,R32_C20,-0.0,-0.0,none
Xinjiang,land,R32_C21,-0.0,-0.0,none
Xinjiang,land,R32_C22,-0.0,-0.0,none
Xinjiang,land,R32_C23,-0.0,-0.0,none
Xinjiang,land,R32_C24,-0.0,-0.0,none
Xinjiang,land,R32_C25,-0.0,-0.0,none
Xinjiang,land,R32_C26,-0.0,-0.0,none
Xinjiang,land,R32_C27,-0.0,-0.0,none
Xinjiang,land,R32_C28,-0.0,-0.0,none
Xinjiang,land,R32_C29,-0.0,-0.0,none
Xinjiang,land,R32_C3,-0.0,-0.0,none
Xinjiang,land,R32_C30,-0.0,-0.0,none
Xinjiang,land,R32_C31,-0.0,-0.0,none
Xinjiang,land,R32_C32,0.0,0.0,none
Xinjiang,land,R32_C4,-0.0,-0.0,none
Xinjiang,land,R32_C5,-0.0,-0.0,none
Xinjiang,land,R32_C6,-0.0,-0.0,none
Xinjiang,land,R32_C7,-0.0,1.0,chem
Xinjiang,land,R32_C8,-0.0,-0.0,none
Xinjiang,land,R32_C9,-0.0,-0.0,none
Xinjiang,land,R33_C10,-0.0,-0.0,none
Xinjiang,land,R33_C11,0.0,-0.0,none
Xinjiang,land,R33_C12,-0.0,-0.0,none
Xinjiang,land,R33_C13,-0.0,-0.0,none
Xinjiang,land,R33_C14,-0.0,-0.0,none
Xinjiang,land,R33_C15,-0.0,-0.0,none
Xinjiang,land,R33_C16,-0.0,-0.0,none
Xinjiang,land,R33_C17,-0.0,-0.0,none
Xinjiang,land,R33_C18,-0.0,-0.0,none
Xinjiang,land,R33_C19,-0.0,-0.0,none
Xinjiang,land,R33_C20,-0.0,-0.0,none
Xinjiang,land,R33_C21,-0.0,-0.0,none
Xinjiang,land,R33_C22,-0.0,-0.0,none
Xinjiang,land,R33_C23,-0.0,-0.0,none
Xinjiang,land,R33_C24,-0.0,-0.0,none
Xinjiang,land,R33_C25,-0.0,-0.0,none
Xinjiang,land,R33_C26,-0.0,-0.0,none
Xinjiang,land,R33_C27,-0.0,-0.0,none
Xinjiang,land,R33_C28,-0.0,-0.0,none
Xinjiang,land,R33_C29,0.0,0.0,none
Xinjiang,land,R33_C30,-0.0,-0.0,none
Xinjiang,land,R33_C31,-0.0,-0.0,none
Xinjiang,land,R33_C4,-0.0,-0.0,none
Xinjiang,land,R33_C5,-0.0,-0.0,none
Xinjiang,land,R33_C6,-0.0,-0.0,none
Xinjiang,land,R33_C7,-0.0,-0.0,none
Xinjiang,land,R33_C8,-0.0,-0.0,none
Xinjiang,land,R33_C9,-0.0,-0.0,none
Xinjiang,land,R34_C10,1.0,-0.0,power
Xinjiang,land,R34_C11,-0.0,-0.0,none
Xinjiang,land,R34_C12,-0.0,-0.0,none
Xinjiang,land,R34_C13,-0.0,-0.0,none
Xinjiang,land,R34_C14,-0.0,-0.0,none
Xinjiang,land,R34_C15,-0.0,-0.0,none
Xinjiang,land,R34_C16,-0.0,-0.0,none
Xinjiang,land,R34_C17,-0.0,-0.0,none
Xinjiang,land,R34_C18,-0.0,-0.0,none
Xinjiang,land,R34_C19,-0.0,-0.0,none
Xinjiang,land,R34_C20,-0.0,-0.0,none
Xinjiang,land,R34_C21,-0.0,-0.0,none
Xinjiang,land,R34_C22,-0.0,-0.0,none
Xinjiang,land,R34_C23,-0.0,-0.0,none
Xinjiang,land,R34_C24,-0.0,-0.0,none
Xinjiang,land,R34_C25,-0.0,-0.0,none
Xinjiang,land,R34_C26,-0.0,-0.0,none
Xinjiang,land,R34_C27,-0.0,-0.0,none
Xinjiang,land,R34_C28,-0.0,-0.0,none
Xinjiang,land,R34_C29,-0.0,-0.0,none
Xinjiang,land,R34_C30,-0.0,-0.0,none
Xinjiang,land,R34_C4,-0.0,-0.0,none
Xinjiang,land,R34_C5,-0.0,-0.0,none
Xinjiang,land,R34_C6,-0.0,-0.0,none
Xinjiang,land,R34_C7,-0.0,-0.0,none
Xinjiang,land,R34_C8,-0.0,-0.0,none
Xinjiang,land,R34_C9,-0.0,-0.0,none
Xinjiang,land,R35_C10,-0.0,-0.0,none
Xinjiang,land,R35_C11,-0.0,-0.0,none
